dataset,session_id,model_split,combo_name,feature_set_combo,turn_idx,speaker,start_frame,end_frame,turn_len,session_aligned_len,modality_order_json,modalities_json
noxi,001,train_internal,audio_only,audio_w2vbert2,0,both,0,750,750,26626,"[""audio_w2vbert2""]","{""audio_w2vbert2"": {""expert_aligned_len"": 26642, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/expert.audio_w2vbert2.raw.npz"", ""feature_set"": ""audio_w2vbert2"", ""n_features_per_role"": 1024, ""novice_aligned_len"": 26642, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/novice.audio_w2vbert2.raw.npz"", ""session_aligned_len"": 26642, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,audio_only,audio_w2vbert2,1,both,563,1313,750,26626,"[""audio_w2vbert2""]","{""audio_w2vbert2"": {""expert_aligned_len"": 26642, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/expert.audio_w2vbert2.raw.npz"", ""feature_set"": ""audio_w2vbert2"", ""n_features_per_role"": 1024, ""novice_aligned_len"": 26642, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/novice.audio_w2vbert2.raw.npz"", ""session_aligned_len"": 26642, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,audio_only,audio_w2vbert2,2,both,1126,1876,750,26626,"[""audio_w2vbert2""]","{""audio_w2vbert2"": {""expert_aligned_len"": 26642, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/expert.audio_w2vbert2.raw.npz"", ""feature_set"": ""audio_w2vbert2"", ""n_features_per_role"": 1024, ""novice_aligned_len"": 26642, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/novice.audio_w2vbert2.raw.npz"", ""session_aligned_len"": 26642, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,audio_only,audio_w2vbert2,3,both,1689,2439,750,26626,"[""audio_w2vbert2""]","{""audio_w2vbert2"": {""expert_aligned_len"": 26642, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/expert.audio_w2vbert2.raw.npz"", ""feature_set"": ""audio_w2vbert2"", ""n_features_per_role"": 1024, ""novice_aligned_len"": 26642, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/novice.audio_w2vbert2.raw.npz"", ""session_aligned_len"": 26642, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,audio_only,audio_w2vbert2,4,both,2252,3002,750,26626,"[""audio_w2vbert2""]","{""audio_w2vbert2"": {""expert_aligned_len"": 26642, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/expert.audio_w2vbert2.raw.npz"", ""feature_set"": ""audio_w2vbert2"", ""n_features_per_role"": 1024, ""novice_aligned_len"": 26642, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/novice.audio_w2vbert2.raw.npz"", ""session_aligned_len"": 26642, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,audio_only,audio_w2vbert2,5,both,2815,3565,750,26626,"[""audio_w2vbert2""]","{""audio_w2vbert2"": {""expert_aligned_len"": 26642, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/expert.audio_w2vbert2.raw.npz"", ""feature_set"": ""audio_w2vbert2"", ""n_features_per_role"": 1024, ""novice_aligned_len"": 26642, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/novice.audio_w2vbert2.raw.npz"", ""session_aligned_len"": 26642, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,audio_only,audio_w2vbert2,6,both,3378,4128,750,26626,"[""audio_w2vbert2""]","{""audio_w2vbert2"": {""expert_aligned_len"": 26642, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/expert.audio_w2vbert2.raw.npz"", ""feature_set"": ""audio_w2vbert2"", ""n_features_per_role"": 1024, ""novice_aligned_len"": 26642, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/novice.audio_w2vbert2.raw.npz"", ""session_aligned_len"": 26642, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,audio_only,audio_w2vbert2,7,both,3941,4691,750,26626,"[""audio_w2vbert2""]","{""audio_w2vbert2"": {""expert_aligned_len"": 26642, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/expert.audio_w2vbert2.raw.npz"", ""feature_set"": ""audio_w2vbert2"", ""n_features_per_role"": 1024, ""novice_aligned_len"": 26642, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/novice.audio_w2vbert2.raw.npz"", ""session_aligned_len"": 26642, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,audio_only,audio_w2vbert2,8,both,4504,5254,750,26626,"[""audio_w2vbert2""]","{""audio_w2vbert2"": {""expert_aligned_len"": 26642, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/expert.audio_w2vbert2.raw.npz"", ""feature_set"": ""audio_w2vbert2"", ""n_features_per_role"": 1024, ""novice_aligned_len"": 26642, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/novice.audio_w2vbert2.raw.npz"", ""session_aligned_len"": 26642, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
noxi,001,train_internal,audio_only,audio_w2vbert2,9,both,5067,5817,750,26626,"[""audio_w2vbert2""]","{""audio_w2vbert2"": {""expert_aligned_len"": 26642, ""expert_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/expert.audio_w2vbert2.raw.npz"", ""feature_set"": ""audio_w2vbert2"", ""n_features_per_role"": 1024, ""novice_aligned_len"": 26642, ""novice_tensor_relative_path"": ""MoE/noxi_data/processed/normalized/audio_w2vbert2/noxi/001/novice.audio_w2vbert2.raw.npz"", ""session_aligned_len"": 26642, ""transform_method"": ""raw"", ""transform_suffix"": ""raw""}}"
