split,session_id,color,task,annotator_file,rows_nonblank,distinct_labels
train-cc,002,purple,task_engagement,purple.task_engagement.1.annotation.csv,28561,4
train-cc,002,purple,social_engagement,purple.social_engagement.1.annotation.csv,28561,3
train-cc,002,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,28561,4
train-cc,002,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,28561,4
train-cc,003,purple,task_engagement,purple.task_engagement.1.annotation.csv,35806,4
train-cc,003,purple,social_engagement,purple.social_engagement.1.annotation.csv,35806,5
train-cc,003,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,35806,4
train-cc,003,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,35806,5
train-cc,012,purple,task_engagement,purple.task_engagement.1.annotation.csv,33448,3
train-cc,012,purple,social_engagement,purple.social_engagement.1.annotation.csv,33448,3
train-cc,012,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,33448,4
train-cc,012,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,33448,4
train-cc,015,purple,task_engagement,purple.task_engagement.1.annotation.csv,22161,5
train-cc,015,purple,social_engagement,purple.social_engagement.1.annotation.csv,22161,5
train-cc,015,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,22161,5
train-cc,015,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,22161,6
train-cc,020,purple,task_engagement,purple.task_engagement.1.annotation.csv,65847,5
train-cc,020,purple,social_engagement,purple.social_engagement.1.annotation.csv,65847,6
train-cc,020,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,65847,5
train-cc,020,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,65847,6
train-cc,022,purple,task_engagement,purple.task_engagement.1.annotation.csv,16480,3
train-cc,022,purple,social_engagement,purple.social_engagement.1.annotation.csv,16480,3
train-cc,022,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,16480,2
train-cc,022,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,16480,4
train-cc,024,purple,task_engagement,purple.task_engagement.1.annotation.csv,24575,5
train-cc,024,purple,task_engagement,purple.task_engagement.2.annotation.csv,24575,4
train-cc,024,purple,social_engagement,purple.social_engagement.1.annotation.csv,24575,5
train-cc,024,purple,social_engagement,purple.social_engagement.2.annotation.csv,24575,5
train-cc,024,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,24575,4
train-cc,024,yellow,task_engagement,yellow.task_engagement.2.annotation.csv,24575,4
train-cc,024,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,24575,5
train-cc,024,yellow,social_engagement,yellow.social_engagement.2.annotation.csv,24575,5
train-cc,028,purple,task_engagement,purple.task_engagement.1.annotation.csv,53392,5
train-cc,028,purple,social_engagement,purple.social_engagement.1.annotation.csv,53392,6
train-cc,028,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,53392,4
train-cc,028,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,53392,5
train-cc,029,purple,task_engagement,purple.task_engagement.1.annotation.csv,71837,4
train-cc,029,purple,social_engagement,purple.social_engagement.1.annotation.csv,71837,4
train-cc,029,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,71837,4
train-cc,029,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,71837,4
train-cc,033,purple,task_engagement,purple.task_engagement.1.annotation.csv,71819,3
train-cc,033,purple,social_engagement,purple.social_engagement.1.annotation.csv,71819,5
train-cc,033,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,71819,4
train-cc,033,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,71819,5
train-cc,037,purple,task_engagement,purple.task_engagement.1.annotation.csv,36762,5
train-cc,037,purple,task_engagement,purple.task_engagement.2.annotation.csv,36762,4
train-cc,037,purple,social_engagement,purple.social_engagement.1.annotation.csv,36762,5
train-cc,037,purple,social_engagement,purple.social_engagement.2.annotation.csv,36762,4
train-cc,037,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,36762,4
train-cc,037,yellow,task_engagement,yellow.task_engagement.2.annotation.csv,36762,4
train-cc,037,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,36762,6
train-cc,037,yellow,social_engagement,yellow.social_engagement.2.annotation.csv,36762,5
train-cc,039,purple,task_engagement,purple.task_engagement.1.annotation.csv,71841,4
train-cc,039,purple,social_engagement,purple.social_engagement.1.annotation.csv,71841,5
train-cc,039,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,71841,4
train-cc,039,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,71841,4
train-cc,042,purple,task_engagement,purple.task_engagement.1.annotation.csv,40097,4
train-cc,042,purple,task_engagement,purple.task_engagement.2.annotation.csv,40097,4
train-cc,042,purple,social_engagement,purple.social_engagement.1.annotation.csv,40097,6
train-cc,042,purple,social_engagement,purple.social_engagement.2.annotation.csv,40097,6
train-cc,042,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,40097,4
train-cc,042,yellow,task_engagement,yellow.task_engagement.2.annotation.csv,40097,3
train-cc,042,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,40097,5
train-cc,042,yellow,social_engagement,yellow.social_engagement.2.annotation.csv,40097,6
train-cc,043,purple,task_engagement,purple.task_engagement.1.annotation.csv,16823,3
train-cc,043,purple,social_engagement,purple.social_engagement.1.annotation.csv,16823,3
train-cc,043,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,16823,4
train-cc,043,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,16823,4
train-cc,044,purple,task_engagement,purple.task_engagement.1.annotation.csv,46684,3
train-cc,044,purple,social_engagement,purple.social_engagement.1.annotation.csv,46684,3
train-cc,044,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,46684,3
train-cc,044,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,46684,3
train-cc,051,purple,task_engagement,purple.task_engagement.1.annotation.csv,58799,3
train-cc,051,purple,social_engagement,purple.social_engagement.1.annotation.csv,58799,4
train-cc,051,yellow,task_engagement,yellow.task_engagement.1.annotation.csv,58799,3
train-cc,051,yellow,social_engagement,yellow.social_engagement.1.annotation.csv,58799,4
